CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_VI_A_VL_DIRCRED_PRAZO;TAB_VI_A1_VL_PRAZO_VENC_30;TAB_VI_A2_VL_PRAZO_VENC_60;TAB_VI_A3_VL_PRAZO_VENC_90;TAB_VI_A4_VL_PRAZO_VENC_120;TAB_VI_A5_VL_PRAZO_VENC_150;TAB_VI_A6_VL_PRAZO_VENC_180;TAB_VI_A7_VL_PRAZO_VENC_360;TAB_VI_A8_VL_PRAZO_VENC_720;TAB_VI_A9_VL_PRAZO_VENC_1080;TAB_VI_A10_VL_PRAZO_VENC_MAIOR_1080;TAB_VI_B_VL_DIRCRED_INAD;TAB_VI_B1_VL_INAD_30;TAB_VI_B2_VL_INAD_60;TAB_VI_B3_VL_INAD_90;TAB_VI_B4_VL_INAD_120;TAB_VI_B5_VL_INAD_150;TAB_VI_B6_VL_INAD_180;TAB_VI_B7_VL_INAD_360;TAB_VI_B8_VL_INAD_720;TAB_VI_B9_VL_INAD_1080;TAB_VI_B10_VL_INAD_MAIOR_1080;TAB_VI_C_VL_DIRCRED_ANTECIPADO;TAB_VI_C1_VL_ANTECIPADO_30;TAB_VI_C2_VL_ANTECIPADO_60;TAB_VI_C3_VL_ANTECIPADO_90;TAB_VI_C4_VL_ANTECIPADO_120;TAB_VI_C5_VL_ANTECIPADO_150;TAB_VI_C6_VL_ANTECIPADO_180;TAB_VI_C7_VL_ANTECIPADO_360;TAB_VI_C8_VL_ANTECIPADO_720;TAB_VI_C9_VL_ANTECIPADO_1080;TAB_VI_C10_VL_ANTECIPADO_MAIOR_1080
17.031.327/0001-23;BRASFOR CONSOLIDADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.043.211/0001-04;VHY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE  RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.047.287/0001-08;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMPROCRED - NÃO PADRONIZADOS;2024-11-30;35658338.62;14367620.66;7442746.95;3138752.47;1204595.07;1141237.18;3634538.39;3571151.88;1157696.02;0.00;0.00;25883126.33;1811806.09;165929.21;136391.73;125000.00;125000.00;124066.82;6708649.80;5864986.42;2834074.94;7987221.32;1951685.29;1951685.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.080.215/0001-62;MEGEVE FUNDO DE INVESTIMENTO EM COTAS DE FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.093.144/0001-32;BLACKPARTNERS MIRUNA FI EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS DE RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.163.831/0001-87;ATLAS GLOBAL FIC FIDC MULTISEGMENTOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.198.452/0001-22;REAL TIME PADRONIZADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;33491157.39;20015091.46;8947428.83;3167691.97;822754.88;122167.58;67368.53;348500.48;85.34;41.88;26.44;7371208.55;2237453.46;276140.73;220975.54;205869.85;64231.14;30825.54;238143.76;3784301.28;313267.25;0.00;2072205.39;2028622.55;40080.11;239.33;3263.40;0.00;0.00;0.00;0.00;0.00;0.00
17.198.574/0001-19;PLATA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-11-30;86832345.70;50294823.90;27180309.69;6864596.55;1938409.68;401475.95;51230.18;101499.75;0.00;0.00;0.00;5650507.83;1524267.09;122580.72;547340.38;453817.71;42451.25;173175.45;320718.59;122567.79;0.00;2343588.85;7720119.02;7343453.25;204331.31;172334.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.198.624/0001-68;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RED CAH;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.198.676/0001-34;AZUL VX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;30912823.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25355984.98;5556838.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.198.822/0001-21;ROVENSA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO  RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.198.845/0001-36;INVISTA I FIC FIDC MULTISSETORIAL NAO PADRONIZADO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.206.614/0001-27;STEP-UP II CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.213.074/0001-09;CENTRUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;48093918.42;21116244.05;9140365.74;3096055.97;2589392.34;266343.26;116844.29;8198964.52;3061885.25;411047.30;96775.70;12141315.73;5091323.80;598440.80;763691.40;1642593.29;750173.06;637049.67;2554143.71;103900.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.250.006/0001-10;RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA;2024-11-30;35653949.41;2371048.98;2024381.46;1763283.58;1931938.30;1434138.64;1324634.38;5144618.24;6108571.13;5081647.93;8469686.77;571589.08;218287.40;41710.91;37563.76;28245.39;9058.95;22694.71;63626.22;150401.74;0.00;0.00;653621.61;550092.07;20408.40;17473.40;16970.06;16426.88;15937.00;16313.80;0.00;0.00;0.00
17.334.148/0001-65;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPIRICA HOME EQUITY;2024-11-30;198366734.54;3140179.19;3624490.59;3241973.69;3554977.70;3342989.73;3309175.97;18529498.63;33587341.38;28871207.42;97164900.24;2174919.80;1005487.46;237491.29;66762.78;59717.96;40698.35;39038.14;154503.03;216705.65;134136.28;220378.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.468.142/0001-80;VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;257831748.22;131764405.02;70576841.67;31569598.03;16361035.36;3612824.98;1026755.05;1110949.15;1809338.96;0.00;0.00;19523568.19;7143134.72;1280107.82;1952591.37;1588080.25;2029690.71;366814.05;4930084.28;233064.99;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.474.548/0001-76;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF I - SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.498.285/0001-35;RAIZES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;88278993.62;28929864.50;18435577.16;7625249.07;5923034.90;3420811.99;3198383.01;16163604.24;4491217.13;91251.62;0.00;16528715.64;3735721.53;1103619.06;1863049.78;993985.45;888087.51;1040854.33;6370845.04;532552.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17.498.332/0001-40;CANADA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;5182320.22;2857284.53;1165256.47;417740.28;465431.65;101850.19;58923.35;108628.29;3136.71;2685.34;1383.41;2647448.28;681872.33;266229.03;11282.15;92448.87;246151.00;338265.36;1011199.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.048.628/0001-22;SG II A FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.048.642/0001-26;BLC FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.063.954/0001-09;FIDC DONEGAL - RESPONSABILIDADE LIMITADA - SEGMENTO COMERCIAL;2024-11-30;155788543.96;4928793.23;3417887.31;1658657.59;4626576.54;3381049.04;114720379.95;23055200.30;0.00;0.00;0.00;33500533.68;233721.60;189371.00;22459267.08;0.00;0.00;2857347.20;7760826.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.114.024/0001-37;METROPOLITANA ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;34096452.90;26551959.94;5580476.76;1317527.31;361312.76;31442.79;7276.79;61231.72;95093.24;67712.16;22419.43;25217740.40;3391826.19;3600149.34;1951420.65;101196.31;549197.58;494262.43;1908983.32;1550217.72;8748091.07;2922395.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.151.682/0001-07;STONE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.152.158/0001-42;BCR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.185.812/0001-14;GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;381420660.75;213270848.64;86101176.42;38271787.38;30314480.62;10049749.16;1223937.76;839308.01;1349372.76;0.00;0.00;9238141.24;6240807.41;744747.01;964709.30;0.00;0.00;0.00;1287877.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.269.128/0001-10;DB 18 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;23512643.82;10084200.46;7270091.99;3580545.50;1480249.16;614680.02;310586.25;172290.44;0.00;0.00;0.00;7293009.04;810960.17;311397.31;143222.00;57228.51;269842.88;57241.18;278308.86;2804672.17;26242.95;2533893.01;1272047.23;1265760.99;4190.60;2095.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.289.873/0001-21;FUNDO DE INVEST. EM DIR. CREDITÓRIOS BB VOTORANTIM HIGHLAND INFRAESTRUTURA RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.387.112/0001-02;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME;2024-11-30;29815691.23;15539818.92;7787927.62;4707955.32;1232287.12;399461.91;148240.34;0.00;0.00;0.00;0.00;3531230.61;2021121.17;6576.60;26666.67;239230.00;793976.66;24000.00;419659.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.392.964/0001-98;FIDUSSIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;87074435.38;50656682.77;12028726.85;10557425.09;2368009.79;2734118.65;4306248.78;4423223.45;0.00;0.00;0.00;21976425.29;6665763.75;893000.00;425000.00;8174216.76;4126084.78;1453960.00;238400.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.563.847/0001-40;LIBRA II NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-11-30;124016414.50;66668395.00;25147317.81;11314279.71;6735794.49;2608373.05;1138225.35;3987384.15;2316644.94;0.00;4100000.00;4545656.42;2430210.44;192963.16;148385.75;22791.13;26776.03;32512.56;1685253.40;6763.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.593.058/0001-51;ZKR NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL;2024-11-30;61365367.24;28496647.28;19279186.09;4418147.92;2282793.94;1731719.29;514738.02;1961319.85;2017310.01;663504.84;0.00;7067209.31;2265075.43;1045068.94;398916.98;503297.51;429917.17;331669.04;1990014.24;103250.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.675.887/0001-83;SUPERNOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;16839074.56;7642358.41;5764905.15;2414622.89;816511.46;183531.19;13232.10;0.00;0.00;3913.36;0.00;731490.61;612893.79;71026.08;2812.50;0.00;0.00;0.00;44758.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.676.119/0001-44;CROWN OCEAN CAPITAL CREDITS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.676.987/0001-24;CLM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;44078192.82;25476298.19;7321447.79;1991409.35;6037704.47;292764.02;1146687.33;1811881.67;0.00;0.00;0.00;2570018.92;1398178.51;0.00;181333.33;0.00;0.00;646343.38;341675.12;2488.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.677.046/0001-05;BRASPOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;16028676.90;8729632.49;3005781.85;1128108.16;255703.80;159717.21;223526.59;774564.92;1279674.84;471967.04;0.00;2281644.95;1186121.55;302842.44;164872.84;261692.52;57260.05;28323.85;260842.85;19688.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.686.800/0001-73;CERRADO I FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.862.277/0001-99;BRASFOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;65521475.78;36122237.36;14078893.22;9097353.89;4524347.93;1565774.44;127756.32;5112.62;0.00;0.00;0.00;9902707.15;2120962.59;48674.46;71639.59;312144.66;588762.60;558352.78;2039251.00;4009348.76;153570.71;0.00;4131201.14;4064014.10;61414.49;3359.97;2412.58;0.00;0.00;0.00;0.00;0.00;0.00
18.874.760/0001-93;PETRA CONSIGNADOS FEDERAL FUNDO DE INVEST EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO-FINANCEIRO;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
18.911.897/0001-70;SPREAD INVESTIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;17650225.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6316125.65;11334100.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.117.931/0001-00;FIDC MRFG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;120568074.62;117898363.57;2669711.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2185096.32;1859515.12;325581.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.153.705/0001-77;CREDERE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;48009839.17;30550909.91;12650639.19;3492296.49;1043240.60;230165.69;42587.29;0.00;0.00;0.00;0.00;2122508.63;1793853.08;129625.60;77489.45;53265.90;3247.25;3539.75;61487.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.187.286/0001-94;RUBI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.187.295/0001-85;VECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  MULTISSETORIAL;2024-11-30;41651707.02;22434187.48;11662680.90;3177667.41;2241820.10;734659.53;365915.68;966190.90;68585.02;0.00;0.00;14730842.93;8282150.39;2296331.10;1249018.94;815934.46;484285.11;597068.40;1006054.53;0.00;0.00;0.00;3049189.20;2512896.06;536293.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.221.032/0001-45;FUNDO DE LIQUIDAÇÃO FINANCEIRA FIDC - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.388.377/0001-98;ANKARA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.388.423/0001-59;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOX I;2024-11-30;181341144.69;80028278.63;58537774.86;19673208.80;10533778.63;1640708.95;7639382.56;2405650.36;882361.90;0.00;0.00;28136858.37;11762039.92;5528199.95;2112237.16;1472356.27;1657527.64;1395399.80;4208633.68;463.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.390.746/0001-87;ATLAS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;117872996.13;58243226.71;35069672.30;15880072.70;6672404.17;1218506.93;138147.58;650965.74;0.00;0.00;0.00;4211914.38;2718624.63;84842.04;0.00;0.00;137015.17;0.00;1271432.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.424.642/0001-46;LOTUS PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;268575463.77;138446035.37;82335997.46;33997506.13;9832295.15;2315910.52;938318.00;709401.14;0.00;0.00;0.00;44034795.86;14446171.22;4777306.14;1550258.99;571946.89;539676.66;1549892.08;7801948.61;12789674.79;0.00;7920.48;20192915.11;18585598.44;1562530.46;36181.74;7223.15;1381.32;0.00;0.00;0.00;0.00;0.00
19.424.674/0001-41;MB FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISEGMENTO;2024-11-30;13332280.15;7858801.69;3733552.43;1017225.07;541011.22;22164.46;119548.46;36816.94;3159.88;0.00;0.00;5598519.71;840561.03;661164.49;128444.84;155053.17;331559.02;1407.44;269165.31;13510.74;281458.00;2916195.67;1323342.70;1323342.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.425.573/0001-95;FINANÇA NP - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL;2024-11-30;31216732.21;12813562.82;11092916.28;4974293.47;1382991.12;264726.60;260833.61;319733.93;107674.38;0.00;0.00;6879051.51;4495595.11;1861618.77;307927.32;173768.73;11114.30;3615.16;25412.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.425.700/0001-56;RDF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;258849656.70;131906065.07;75289480.87;26682884.90;10936875.04;5297525.74;4912453.69;3274260.59;550110.80;0.00;0.00;18647578.43;9749136.92;1302217.48;1303357.22;938915.62;458816.68;811197.77;3971734.90;112201.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.476.304/0001-58;LATACHE II DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.503.125/0001-62;FAMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;10777020.75;7895419.44;2289150.30;472603.18;89371.12;20104.11;6571.41;3801.19;0.00;0.00;0.00;1598615.47;398326.02;29247.64;6790.27;4009.32;0.00;0.00;276845.93;0.00;0.00;883396.29;854134.78;853572.45;562.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.527.871/0001-96;TS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;31654447.18;18084966.50;10799836.23;1017770.29;439353.39;413930.85;189167.15;709422.77;0.00;0.00;0.00;20460048.96;15504880.55;1920297.30;241695.61;364382.76;1220429.41;141863.33;1066500.00;0.00;0.00;0.00;912847.00;893519.23;19327.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.599.487/0001-07;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ZIPDIN I;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.675.590/0001-80;V7 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - AÇÕES JUDICIAIS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
19.686.540/0001-07;SG 4870 III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
