CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
28.153.046/0001-60;BLC II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;205010731.66;205010731.66;43301.93;204967429.73;0.00;0.00;0.00;0.00;0.00
28.169.275/0001-72;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I;2024-11-30;662807357.44;662807357.44;662807357.44;0.00;0.00;0.00;0.00;0.00;0.00
28.194.790/0001-02;ATICCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;1229961.54;1229961.54;1227239.32;2722.22;0.00;0.00;0.00;0.00;0.00
28.194.817/0001-67;CREDVALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;3538449.69;3538449.69;2505891.03;1032558.66;0.00;0.00;0.00;0.00;0.00
28.240.255/0001-40;MARINO INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS RESP LIMITADA;2024-11-30;2180935.49;2180935.49;2180935.49;0.00;0.00;0.00;0.00;0.00;0.00
28.254.169/0001-97;VEGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;621007.81;621007.81;621007.81;0.00;0.00;0.00;0.00;0.00;0.00
28.254.193/0001-26;BLP PRECATÓRIO III-FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS DE RESP. LIMITADA;2024-11-30;1147381.31;1147381.31;18000.00;1129381.31;0.00;0.00;0.00;0.00;0.00
28.267.746/0001-85;LEPAPIE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;471536.06;471536.06;471536.06;0.00;0.00;0.00;0.00;0.00;0.00
28.279.473/0001-99;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AUTO-HONDA;2024-11-30;1033188.68;1033188.68;1033188.68;0.00;0.00;0.00;0.00;0.00;0.00
28.296.597/0001-82;HT3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2024-11-30;3329496.75;3329496.75;3329496.75;0.00;0.00;0.00;0.00;0.00;0.00
28.296.620/0001-39;KATCH DIVERSIFIED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL;2024-11-30;134769.54;134769.54;134769.54;0.00;0.00;0.00;0.00;0.00;0.00
28.472.352/0001-69;SPS CORP I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;39983580.21;39983580.21;39983580.21;0.00;0.00;0.00;0.00;0.00;0.00
28.472.392/0001-00;UPL 1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRONEGÓCIO RESPONSABILIDADE LIMITADA;2024-11-30;21907738.44;21907738.44;21907738.44;0.00;0.00;0.00;0.00;0.00;0.00
28.474.974/0001-26;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PRECATÓRIOS SELECIONADOS II RESPONSABILIDADE LIMITADA;2024-11-30;82834.58;82834.58;82834.58;0.00;0.00;0.00;0.00;0.00;0.00
28.481.469/0001-09;MAJORITY - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;86764.23;86764.23;0.00;86764.23;0.00;0.00;0.00;0.00;0.00
28.492.719/0001-06;VINCI ENERGIA SUSTENTÁVEL FIDC - IS RESPONSABILIDADE LIMITADA;2024-11-30;2004565.77;2004565.77;2004565.77;0.00;0.00;0.00;0.00;0.00;0.00
28.536.554/0001-27;GÁTRIA II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;9363902.55;9363902.55;0.00;9363902.55;0.00;0.00;0.00;0.00;0.00
28.549.910/0001-47;SGC UT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;44912.98;44912.98;44912.98;0.00;0.00;0.00;0.00;0.00;0.00
28.549.975/0001-92;AGHI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;372123.95;372123.95;372123.95;0.00;0.00;0.00;0.00;0.00;0.00
28.651.441/0001-72;VERMILLION I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;24591.45;24591.45;24591.43;0.02;0.00;0.00;0.00;0.00;0.00
28.671.036/0001-16;WFR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;1022689.05;1022689.05;1019966.83;2722.22;0.00;0.00;0.00;0.00;0.00
28.671.081/0001-70;HERCULES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;5851816.81;5851816.81;5850915.72;901.09;0.00;0.00;0.00;0.00;0.00
28.702.814/0001-97;CREDITISE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;3939952.18;3939952.18;3939952.18;0.00;0.00;0.00;0.00;0.00;0.00
28.729.157/0001-71;FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS INTRA BLACK CREDIFACIL;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
28.796.939/0001-23;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTIESTRATÉGIA I DE  RESPONSABILIDADE LIMITADA;2024-11-30;334486.91;334486.91;334486.91;0.00;0.00;0.00;0.00;0.00;0.00
28.796.986/0001-77;KINERET FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;6128398.14;6128398.14;6128398.14;0.00;0.00;0.00;0.00;0.00;0.00
28.819.553/0001-90;PÁTRIA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;9570237.46;9130226.29;0.00;9130226.29;440011.17;0.00;0.00;440011.17;0.00
28.819.664/0001-04;TREVYS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;13561.96;13561.96;13561.96;0.00;0.00;0.00;0.00;0.00;0.00
28.849.641/0001-34;SQUID FUNDO DE INVESTIMENTO EM DIRETOS CREDITÓRIOS;2024-11-30;465907.14;465907.14;465907.14;0.00;0.00;0.00;0.00;0.00;0.00
28.849.649/0001-09;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA A55 SAAS;2024-11-30;477531.46;477531.46;477531.46;0.00;0.00;0.00;0.00;0.00;0.00
28.849.674/0001-84;UPPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;37235.75;37235.75;37235.75;0.00;0.00;0.00;0.00;0.00;0.00
28.879.529/0001-46;CREDISA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;669497.24;669497.24;666774.84;2722.40;0.00;0.00;0.00;0.00;0.00
28.879.551/0001-96;NOVAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS;2024-11-30;845936.27;845936.27;845935.88;0.39;0.00;0.00;0.00;0.00;0.00
28.880.344/0001-51;CARAVELAS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS - FIDC NP;2024-11-30;2099519.12;2099519.12;2099519.12;0.00;0.00;0.00;0.00;0.00;0.00
28.880.384/0001-01;GENOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
28.880.400/0001-58;GRAN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  RESPONSABILIDADE LIMITADA;2024-11-30;3031464.05;3031464.05;79000.00;2952464.05;0.00;0.00;0.00;0.00;0.00
28.912.351/0001-98;SADESUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;159989.65;159989.65;159989.65;0.00;0.00;0.00;0.00;0.00;0.00
28.960.803/0001-07;M SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;161076.51;161076.51;99425.18;61651.33;0.00;0.00;0.00;0.00;0.00
29.010.636/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP OPTIONS;2024-11-30;66403.63;66403.63;66403.63;0.00;0.00;0.00;0.00;0.00;0.00
29.010.886/0001-36;GUARDIANS FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;25656.71;25656.71;25656.71;0.00;0.00;0.00;0.00;0.00;0.00
29.018.916/0001-50;UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;28318.77;28318.77;28318.77;0.00;0.00;0.00;0.00;0.00;0.00
29.043.573/0001-84;MALTA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;13203.95;13203.95;13203.95;0.00;0.00;0.00;0.00;0.00;0.00
29.045.928/0001-74;PANORAMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP;2024-11-30;45187.78;45187.78;45187.78;0.00;0.00;0.00;0.00;0.00;0.00
29.077.751/0001-98;PREGUINHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;38303.19;38303.19;38303.19;0.00;0.00;0.00;0.00;0.00;0.00
29.077.762/0001-78;VERYON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;37692.60;37692.60;37692.60;0.00;0.00;0.00;0.00;0.00;0.00
29.085.410/0001-64;NEB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;303827.14;303827.14;303827.14;0.00;0.00;0.00;0.00;0.00;0.00
29.085.424/0001-88;BH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;246458.16;246458.16;246458.16;0.00;0.00;0.00;0.00;0.00;0.00
29.109.292/0001-87;PINARELLO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;879088.09;879088.09;877143.61;1944.48;0.00;0.00;0.00;0.00;0.00
29.109.316/0001-06;DFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2024-11-30;22835.09;22835.09;22835.09;0.00;0.00;0.00;0.00;0.00;0.00
29.109.350/0001-72;JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2024-11-30;348164.88;348164.88;348164.88;0.00;0.00;0.00;0.00;0.00;0.00
29.109.383/0001-12;CAPITAL FINANÇAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;867876.30;867876.30;865153.95;2722.35;0.00;0.00;0.00;0.00;0.00
29.109.411/0001-00;JC DIVERSIFICADO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29.152.636/0001-30;ACREDITAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;272328.10;272328.10;269606.37;2721.73;0.00;0.00;0.00;0.00;0.00
29.152.737/0001-01;POUSO ALEGRE FIC FIDC MULTISSETORIAL - RESPONSABILIDADE LIMITADA;2024-11-30;13252.68;13252.68;12730.37;522.31;0.00;0.00;0.00;0.00;0.00
29.187.006/0001-00;CONTATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;3137073.76;3137073.76;3137073.76;0.00;0.00;0.00;0.00;0.00;0.00
29.225.241/0001-10;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III RESPONSABILIDADE LIMITADA;2024-11-30;207658603.09;207658603.09;25000.00;207633603.09;0.00;0.00;0.00;0.00;0.00
29.226.492/0001-10;TAURUS FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZA;2024-11-30;14985.14;14985.14;14985.14;0.00;0.00;0.00;0.00;0.00;0.00
29.226.634/0001-49;ARATU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;33783.01;33783.01;33783.01;0.00;0.00;0.00;0.00;0.00;0.00
29.226.654/0001-10;INVESTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;4088443.23;4088443.23;4083011.51;5431.72;0.00;0.00;0.00;0.00;0.00
29.226.688/0001-04;TOP SPIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE ILIMITADA;2024-11-30;155048.21;155048.21;155048.21;0.00;0.00;0.00;0.00;0.00;0.00
29.226.704/0001-69;OPERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL;2024-11-30;13985347.53;13985347.53;13982623.24;2724.29;0.00;0.00;0.00;0.00;0.00
29.236.389/0001-50;TREVYS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;730584.82;730584.82;727862.54;2722.28;0.00;0.00;0.00;0.00;0.00
29.236.426/0001-20;SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;6532335.15;6532335.15;6532335.01;0.14;0.00;0.00;0.00;0.00;0.00
29.242.769/0001-06;COBUCCIO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA;2024-11-30;20162.89;20162.89;20162.89;0.00;0.00;0.00;0.00;0.00;0.00
29.242.877/0001-70;AVANTI MULTIPLICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;1816209.18;1816209.18;1815103.08;1106.10;0.00;0.00;0.00;0.00;0.00
29.242.908/0001-93;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGORA TELECOM;2024-11-30;88988.90;88988.90;87044.31;1944.59;0.00;0.00;0.00;0.00;0.00
29.242.913/0001-04;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEON FGTS;2024-11-30;322012.63;322012.63;322012.63;0.00;0.00;0.00;0.00;0.00;0.00
29.242.916/0001-30;JUNTOS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;254151.87;254151.87;251429.71;2722.16;0.00;0.00;0.00;0.00;0.00
29.242.926/0001-75;CONSIGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;420428.25;420428.25;420428.11;0.14;0.00;0.00;0.00;0.00;0.00
29.242.933/0001-77;FORZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29.242.992/0001-45;UNIQUE FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZA;2024-11-30;13946.73;13946.73;13946.73;0.00;0.00;0.00;0.00;0.00;0.00
29.242.999/0001-67;HOD II LONG PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;2532330.10;2532330.10;2532321.07;9.03;0.00;0.00;0.00;0.00;0.00
29.243.004/0001-82;LIMAJ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;288545.68;288545.68;287447.73;1097.95;0.00;0.00;0.00;0.00;0.00
29.243.005/0001-27;MULTIFRIGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;744253.09;744253.09;744253.09;0.00;0.00;0.00;0.00;0.00;0.00
29.249.995/0001-00;GOLDEN TREE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;146006.26;146006.26;146006.26;0.00;0.00;0.00;0.00;0.00;0.00
29.284.735/0001-76;ACREDITAR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;9450.00;9450.00;9450.00;0.00;0.00;0.00;0.00;0.00;0.00
29.284.754/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RIOJA;2024-11-30;225114.52;225114.52;225114.52;0.00;0.00;0.00;0.00;0.00;0.00
29.284.795/0001-99;CANAVIEIRAS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS - FIDC NP;2024-11-30;34210.52;34210.52;34210.52;0.00;0.00;0.00;0.00;0.00;0.00
29.292.189/0001-15;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS HENDRIKSEN;2024-11-30;337518.18;337518.18;337518.18;0.00;0.00;0.00;0.00;0.00;0.00
29.292.230/0001-53;3S FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29.292.260/0001-60;MEZZANINE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;50021.11;50021.11;50021.11;0.00;0.00;0.00;0.00;0.00;0.00
29.292.271/0001-40;PÁTRIA CRÉDITO ESTRUTURADO FEEDER TEAM FUNDO DE INVESTIMENTO EM COTAS DE FIDC RESP LIMITADA;2024-11-30;14079.20;14079.20;14079.20;0.00;0.00;0.00;0.00;0.00;0.00
29.292.312/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS NPL II;2024-11-30;32810182.17;32810182.17;32810182.17;0.00;0.00;0.00;0.00;0.00;0.00
29.301.202/0001-55;RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;408362209.31;408362209.31;408362209.31;0.00;0.00;0.00;0.00;0.00;0.00
29.319.754/0001-90;ALGARVE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;23680.28;23680.28;16818.83;6861.45;0.00;0.00;0.00;0.00;0.00
29.330.482/0001-20;YUNUS NEGOCIOS SOCIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;14466.78;14466.78;14466.78;0.00;0.00;0.00;0.00;0.00;0.00
29.461.840/0001-33;SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;7209.86;7209.86;7209.86;0.00;0.00;0.00;0.00;0.00;0.00
29.469.420/0001-01;MULTIPLIKE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;4174096.47;4174096.47;4174096.47;0.00;0.00;0.00;0.00;0.00;0.00
29.469.502/0001-48;JC DIVERSIFICADO V FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29.469.886/0001-07;JC DIVERSIFICADO VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS;2024-11-30;490983.75;490983.75;490983.75;0.00;0.00;0.00;0.00;0.00;0.00
29.492.579/0001-39;REAL TIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;541148.66;541148.66;541148.66;0.00;0.00;0.00;0.00;0.00;0.00
29.492.605/0001-29;GAZIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS;2024-11-30;162825.12;162825.12;162825.12;0.00;0.00;0.00;0.00;0.00;0.00
29.492.703/0001-66;FRADINHO N FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE  LIMITADA;2024-11-30;807859.94;807859.94;807859.94;0.00;0.00;0.00;0.00;0.00;0.00
29.492.726/0001-70;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS LF II;2024-11-30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
29.492.868/0001-38;MULTI RECEBÍVEIS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;1734151.96;1734151.96;1734151.96;0.00;0.00;0.00;0.00;0.00;0.00
29.494.000/0001-77;MULTIBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP;2024-11-30;165597.73;165597.73;165597.73;0.00;0.00;0.00;0.00;0.00;0.00
29.494.026/0001-15;MULVI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;102565.79;102565.79;102565.79;0.00;0.00;0.00;0.00;0.00;0.00
29.602.897/0001-05;ANDROS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;94047.04;94047.04;94047.04;0.00;0.00;0.00;0.00;0.00;0.00
29.613.776/0001-69;DAVOS ADONAI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;751928.76;751928.76;749984.36;1944.40;0.00;0.00;0.00;0.00;0.00
29.665.263/0001-00;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS COMERCIAIS DE RESPONSABILIDADE LIMITADA FORTBRASIL;2024-11-30;92098.69;92098.69;0.00;92098.69;0.00;0.00;0.00;0.00;0.00
29.720.577/0001-50;FALCON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;416898.50;416898.50;416898.50;0.00;0.00;0.00;0.00;0.00;0.00
29.720.582/0001-62;SG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;296758.51;296758.51;296758.51;0.00;0.00;0.00;0.00;0.00;0.00
29.720.593/0001-42;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ MULTI CONSIGNADOS I RESPONSABILIDADE LIMITADA;2024-11-30;3349099.65;3349099.65;3349099.65;0.00;0.00;0.00;0.00;0.00;0.00
29.720.595/0001-31;DISTRESSED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS DE RESPONSABILIDADE LIMITADA;2024-11-30;15928103.44;15928103.44;15928103.44;0.00;0.00;0.00;0.00;0.00;0.00
29.720.600/0001-06;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NEXUS;2024-11-30;76391.20;76391.20;76391.20;0.00;0.00;0.00;0.00;0.00;0.00
29.720.639/0001-23;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS JPM III;2024-11-30;4644103.15;4644103.15;4644103.15;0.00;0.00;0.00;0.00;0.00;0.00
29.746.371/0001-07;STEP-UP X FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;115166.28;115166.28;115166.28;0.00;0.00;0.00;0.00;0.00;0.00
29.746.406/0001-08;STEP-UP VIII FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;8183862.79;8183862.79;8183862.79;0.00;0.00;0.00;0.00;0.00;0.00
29.786.909/0001-07;LANCIA! FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;117255.41;117255.41;117255.41;0.00;0.00;0.00;0.00;0.00;0.00
29.800.237/0001-39;ROOT GENERAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;2320695.61;2320695.61;2166572.21;154123.40;0.00;0.00;0.00;0.00;0.00
29.828.733/0001-09;C6 BANK TV1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;11139779.64;11139779.64;11139779.64;0.00;0.00;0.00;0.00;0.00;0.00
29.828.802/0001-76;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ASAAS - RESPONSABILIDADE LIMITADA;2024-11-30;761166.53;761166.53;761166.53;0.00;0.00;0.00;0.00;0.00;0.00
29.883.183/0001-12;SIRIUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;693264.82;693264.82;31180.13;662084.69;0.00;0.00;0.00;0.00;0.00
29.953.928/0001-72;META FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;1699761.34;1699761.34;1697038.90;2722.44;0.00;0.00;0.00;0.00;0.00
29.957.532/0001-01;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SABIA CREDIT;2024-11-30;1113147.85;1113147.85;1110423.84;2724.01;0.00;0.00;0.00;0.00;0.00
29.969.815/0001-65;ALAMIN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL;2024-11-30;94597.38;94597.38;94597.03;0.35;0.00;0.00;0.00;0.00;0.00
29.970.181/0001-60;LINK BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS;2024-11-30;2770973.06;2770973.06;2770973.06;0.00;0.00;0.00;0.00;0.00;0.00
29.970.251/0001-80;SOLAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;7433181.96;7433181.96;7430460.42;2721.54;0.00;0.00;0.00;0.00;0.00
29.986.319/0001-10;KINEA VÉRTICE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ABERTO RESPONSABILIDADE LIMITADA;2024-11-30;1347126.23;1347126.23;1347126.23;0.00;0.00;0.00;0.00;0.00;0.00
30.035.329/0001-59;VIA INVEST II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA;2024-11-30;91580.34;91580.34;91580.18;0.16;0.00;0.00;0.00;0.00;0.00
30.127.068/0001-05;ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;648050.26;648050.26;645328.24;2722.02;0.00;0.00;0.00;0.00;0.00
30.142.432/0001-06;IPÊ - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;40349.61;40349.61;40349.61;0.00;0.00;0.00;0.00;0.00;0.00
30.143.979/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS ALUMIE;2024-11-30;60075.11;60075.11;60075.11;0.00;0.00;0.00;0.00;0.00;0.00
