CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_III_VL_PASSIVO;TAB_III_A_VL_PAGAR;TAB_III_A1_VL_CPRAZO;TAB_III_A2_VL_LPRAZO;TAB_III_B_VL_POSICAO_DERIV;TAB_III_B1_VL_TERMO;TAB_III_B2_VL_OPCAO;TAB_III_B3_VL_FUTURO;TAB_III_B4_VL_SWAP_PAGAR
08.927.488/0001-09;FIDC TRENDBANK BANCO DE FOMENTO - MULTISETORIAL;2024-11-30;133989.00;133989.00;133989.00;0.00;0.00;0.00;0.00;0.00;0.00
08.930.397/0001-22;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP;2024-11-30;5535753.21;5535753.21;5533808.60;1944.61;0.00;0.00;0.00;0.00;0.00
08.987.105/0001-98;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - FORNECEDORES I DE RESPONSABILIDADE LIMITADA;2024-11-30;132078.68;132078.68;132078.68;0.00;0.00;0.00;0.00;0.00;0.00
09.009.924/0001-23;ECO MULTI COMMODITIES FIDC FINANCEIROS AGROPECUARIOS;2024-11-30;3290960.35;3290960.35;3290960.35;0.00;0.00;0.00;0.00;0.00;0.00
09.057.948/0001-58;FIDC MULTISETORIAL EXICON I;2024-11-30;869618.28;869618.28;869617.41;0.87;0.00;0.00;0.00;0.00;0.00
09.072.384/0001-22;CREDITMIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2024-11-30;136032.81;136032.81;136032.81;0.00;0.00;0.00;0.00;0.00;0.00
09.104.359/0001-83;DETOMASO FIDC-NP MULTISSETORIAL;2024-11-30;2371722.23;2371722.23;2371721.94;0.29;0.00;0.00;0.00;0.00;0.00
09.115.244/0001-94;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRATEX PRECATÓRIO II - RESPONSABILIDADE LIMITADA;2024-11-30;533202.89;533202.89;533202.89;0.00;0.00;0.00;0.00;0.00;0.00
09.137.729/0001-89;MULTI RECEBÍVEIS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS;2024-11-30;1519951.03;1519951.03;1519951.03;0.00;0.00;0.00;0.00;0.00;0.00
09.163.026/0001-25;MERIDIANO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS - NÃO PADRONIZADO;2024-11-30;745558.09;745558.09;745558.09;0.00;0.00;0.00;0.00;0.00;0.00
