CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TAB_IV_A_VL_PL;TAB_IV_B_VL_PL_MEDIO
36.500.339/0001-02;BMA INTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2024-11-30;269373325.50;265746892.43
36.517.586/0001-03;MOVVIME FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;14780836.30;14799526.74
36.544.636/0001-41;PAY CARGO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;140307174.89;137263505.32
36.553.528/0001-35;BANCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;118602193.67;119676854.55
36.566.199/0001-67;LAPERANTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;312229020.04;303218867.64
36.566.257/0001-52;ROMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;34491542.18;35309073.21
36.566.311/0001-60;OBSIDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2024-11-30;56342773.32;53606853.75
36.643.574/0001-25;VIVO PAY I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA;2024-11-30;243413161.00;246540291.83
36.643.621/0001-30;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA;2024-11-30;91375085.73;85276092.71
36.655.893/0001-50;XP CRÉDITO ESTRUTURADO 360 PROFISSIONAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;100615469.82;108687604.16
36.669.346/0001-24;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INSOLVÊNCIA;2024-11-30;22848741.14;22898153.94
36.672.404/0001-79;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITOS NÃO PADRONIZADOS I RESPONSABILIDADE LIMITADA;2024-11-30;800969375.67;809333372.39
36.703.167/0001-66;YAALEH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;115286825.24;103924915.04
36.731.351/0001-10;COPPER CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO;2024-11-30;70233945.58;67262204.79
36.741.133/0001-66;AFRICA FUNDO DE INVESTIMENTO MULTIMERCADO RESPONSABILIDADE  LIMITADA;2024-11-30;0.00;3203709.35
36.741.161/0001-83;NANBAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS;2024-11-30;40738095.83;39874626.32
36.771.000/0001-32;VCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2024-11-30;608020946.14;627397606.16
36.771.685/0001-17;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IS GREEN SOLFÁCIL I DE RESPONSABILIDADE LIMITADA;2024-11-30;224369915.99;233077115.28
36.814.213/0001-02;LINCOLN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS;2024-11-30;6619776.70;6583438.63
36.815.016/0001-08;JAGUARI CONSIGNADO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;8153247.11;8153247.11
36.847.007/0001-90;REN30 FUNDO DE INVESTIMENTO EM COTAS DE FIDC DE RESPONSABILIDADE LIMITADA;2024-11-30;50227902.08;42795418.56
36.875.515/0001-82;BS INTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO- PADRONIZADOS MULTISSETORIAL;2024-11-30;117369607.73;116508792.15
36.896.886/0001-40;ARC I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;182687667.13;201501310.84
36.953.080/0001-47;ENDURANCE INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;311032822.30;303655253.50
36.977.085/0001-00;KITE FINANCE FUNDO DE INVESTIMENTO EM DIREITOS CRÉDITÓRIOS RESPONSABILIDADE LIMITADA;2024-11-30;7901872.48;9250509.50
36.977.475/0001-80;PERSONALITE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;155190.98;219623.41
36.986.506/0001-69;IRON FUND RPC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2024-11-30;34959767.60;29175656.97
